City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
port mathurin,-19.6833,63.4167,74.64,78.0,62.0,16.13,MU,1690447882.0
margaret river,-33.95,115.0667,56.75,66.0,96.0,13.44,AU,1690447831.0
stanley,54.868,-1.6985,61.29,94.0,75.0,3.44,GB,1690447882.0
udachny,66.4167,112.4,62.6,60.0,100.0,3.22,RU,1690447883.0
blackmans bay,-43.0167,147.3167,54.73,63.0,100.0,7.36,AU,1690447883.0
grytviken,-54.2811,-36.5092,33.33,99.0,100.0,10.11,GS,1690447883.0
luanda,-8.8368,13.2343,69.8,88.0,75.0,4.61,AO,1690447704.0
beroroha,-21.6667,45.1667,79.43,26.0,0.0,6.17,MG,1690447848.0
albany,42.6001,-73.9662,72.9,81.0,78.0,3.56,US,1690447884.0
nova vicosa,-17.8919,-39.3719,68.09,80.0,1.0,1.28,BR,1690447639.0
puerto baquerizo moreno,-0.9,-89.6,74.64,82.0,100.0,12.19,EC,1690447884.0
kolonia,50.9333,6.95,64.29,90.0,75.0,13.8,DE,1690447803.0
wailua homesteads,22.0669,-159.378,79.59,81.0,75.0,17.27,US,1690447885.0
punta arenas,-53.15,-70.9167,29.32,86.0,32.0,7.36,CL,1690447885.0
port-aux-francais,-49.35,70.2167,40.91,89.0,71.0,38.41,TF,1690447886.0
hasaki,35.7333,140.8333,90.28,78.0,4.0,14.7,JP,1690447886.0
utrik,11.2278,169.8474,83.07,80.0,100.0,20.62,MH,1690447886.0
akureyri,65.6835,-18.0878,46.33,76.0,75.0,6.91,IS,1690447696.0
st. john's,47.5649,-52.7093,64.98,86.0,20.0,18.41,CA,1690447887.0
puerto natales,-51.7236,-72.4875,25.88,95.0,100.0,2.98,CL,1690447888.0
quibdo,5.6947,-76.6611,74.79,97.0,95.0,1.7,CO,1690447889.0
constantia,44.1833,28.65,65.08,63.0,100.0,10.83,RO,1690447889.0
adamstown,-25.066,-130.1015,66.97,60.0,10.0,6.22,PN,1690447890.0
edinburgh of the seven seas,-37.0676,-12.3116,50.43,57.0,86.0,18.52,SH,1690447890.0
cradock,-32.1642,25.6192,58.12,57.0,0.0,6.46,ZA,1690447890.0
ketchikan,55.3422,-131.6461,61.27,82.0,100.0,3.44,US,1690447890.0
kuusamo,65.9667,29.1833,67.3,55.0,57.0,3.87,FI,1690447890.0
newman,37.3138,-121.0208,75.18,75.0,0.0,3.69,US,1690447891.0
naze,28.3667,129.4833,79.72,83.0,100.0,12.24,JP,1690447673.0
hami,42.8,93.45,106.2,7.0,0.0,10.33,CN,1690447891.0
igarka,67.4667,86.5833,81.61,47.0,3.0,8.08,RU,1690447891.0
polyarnyy,69.1989,33.4478,55.56,86.0,100.0,3.4,RU,1690447892.0
smithers,54.7804,-127.1743,50.32,87.0,0.0,0.0,CA,1690447892.0
mariental,-24.6333,17.9667,68.85,11.0,0.0,9.15,NA,1690447801.0
ushuaia,-54.8,-68.3,28.06,74.0,0.0,8.05,AR,1690447850.0
harstad,68.799,16.5293,62.8,98.0,58.0,1.99,NO,1690447892.0
xilin hot,43.9667,116.0333,88.23,30.0,75.0,9.06,CN,1690447893.0
bilibino,68.0546,166.4372,49.69,78.0,93.0,5.95,RU,1690447893.0
reyes,-14.3167,-67.3833,71.24,88.0,92.0,2.66,BO,1690447893.0
swakopmund,-22.6833,14.5333,53.98,89.0,0.0,3.0,NA,1690447893.0
